index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Amulet of the Viper	0	0	1		1	1	0	0	vip	Amulet		5	5000	lgry							mana		10	10	res-pois		25	25	hp		10	10			0	0			0	0			0	0			0	0																						0
The Gnasher	1	0	1		1	1	7	5	jew	Hand Axe		5	5000	dyel							str		8	8	openwounds		50	50	crush		20	20	dmg%		60	70																																		0
Deathspade	2	0	1		1	1	12	9	jew	Axe		5	5000	dgld							stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		60	70																														0
Bladebone	3	0	1		1	1	20	15	jew	Double Axe		5	5000	lgry	lgry						dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		30	50																						0
Mindrend	4	0	1		1	1	28	21	jew	Military Pick		5	5000	lgrn							stupidity		2	2	regen-mana		20	20	ltng-min		1	1	ltng-max		12	15	att		50	100	dmg%		60	100	openwounds		15	15																						0
Rakescar	5	0	1		1	1	36	27	jew	War Axe		5	5000	dgry	dgry						pois-min		128	128	pois-max		128	128	pois-len		75	75	att		50	50	res-pois		50	50	dmg%		75	150	swing2		30	30																						0
Fechmars Axe	6	0	1		1	1	11	8	jew	Large Axe		5	5000	lpur	lpur						dmg%		70	90	freeze		3	3	res-cold		50	50	light		2	2																																		0
Goreshovel	7	0	1		1	1	19	14	jew	Broad Axe		5	5000	dpur	dpur						swing3		30	30	str		25	25	openwounds		60	60	dmg%		40	50	dmg-max		9	9																														0
The Chieftan	8	0	1		1	1	26	19	jew	Battle Axe		5	5000	oran							dmg%		100	100	res-all		10	20	mana-kill		6	6	swing2		20	20	dmg-ltng		1	40																														0
Brainhew	9	0	1		1	1	34	25	jew	Great Axe		5	5000	whit							dmg-min		14	14	mana		25	25	light		4	4	manasteal		10	13	dmg%		50	80	dmg-fire		15	35																										0
The Humongous	10	0	1		1	1	39	29	jew	Giant Axe		5	5000	blac	blac						str		20	30	dmg-min		8	8	dmg-max		15	25	crush		33	33	ease		20	20	dmg%		80	120																										0
Iros Torch	11	0	1		1	1	7	5	jew	Wand		5	5000	cred							nec		1	1	lifesteal		6	6	dmg-fire		5	9	light		3	3	enr		10	10	regen-mana		5	5																										0
Maelstromwrath	12	0	1		1	1	19	14	jew	Yew Wand		5	5000	dblu	dblu						ltng-min		1	1	ltng-max		9	9	res-ltng		40	40	mana		13	13	cast2		30	30	skill	74	1	3	skill	77	1	3	skill	66	1	3	skill	76	1	3														0
Gravenspine	13	0	1		1	1	27	20	jew	Bone Wand		5	5000	cgrn							str		10	10	dex		10	10	cold-min		4	4	cold-max		8	8	cold-len		75	75	manasteal		5	5	nec		2	2	mana		25	50																		0
Umes Lament	14	0	1		1	1	38	28	jew	Grim Wand		5	5000	lblu	lblu						nec		2	2	mana		40	40	cast2		20	20	howl		64	64	skill	77	3	3	skill	87	2	2																										0
Felloak	15	0	1		1	1	4	3	jew	Club		5	5000	lgry							res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		6	6	fire-max		8	8	dmg%		70	80																										0
Knell Striker	16	0	1		1	1	7	5	jew	Scepter		5	5000	dred	dred						crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		70	80																										0
Rusthandle	17	0	1		1	1	23	17	jew	Grand Scepter		5	5000	lgld	lgld						pal		1	1	dmg-norm		3	7	red-mag		1	1	lifesteal		8	8	dmg%		50	60	dmg-undead		50	60	skill	111	1	3	skill	103	3	3																		0
Stormeye	18	0	1		1	1	31	23	jew	War Scepter		5	5000	cred	cred						dmg-ltng		1	6	dmg-cold	75	3	5	regen		10	10	dmg%		80	120	skill	110	3	5	skill	118	3	3	skill	121	1	1																						0
Stoutnail	19	0	1		1	1	7	5	jew	Spiked Club		5	5000	dgry							thorns		3	10	dmg%		100	100	vit		7	7	red-mag		2	2																																		0
Crushflange	20	0	1		1	1	12	9	jew	Mace		5	5000	blac	blac						str		15	15	knock		1	1	light		2	2	res-fire		50	50	dmg%		50	60	crush		33	33																										0
Bloodrise	21	0	1		1	1	20	15	jew	Morning Star		5	5000	lblu							dmg%		120	120	att%		50	50	openwounds		25	25	light		2	2	swing1		10	10	skill	96	3	3	lifesteal		5	5																						0
The Generals Tan Do Li Ga	22	0	1		1	1	28	21	jew	Flail		5	5000	dblu	dblu						dmg-min		1	1	dmg-max		20	20	slow		50	50	ac		25	25	manasteal		5	5	dmg%		50	60	swing2		20	20																						0
Ironstone	23	0	1		1	1	36	27	jew	War Hammer		5	5000	cblu	cblu						att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		10	10	str		10	10	*enr		-5	-5																										0
Bonesob	24	0	1		1	1	32	24	jew	Maul		5	5000	lred							dmg%		200	300	crush		40	40	res-fire		30	30	res-cold		30	30	dmg-undead		50	50																														0
Steeldriver	25	0	1		1	1	39	29	jew	Great Maul		5	5000	cgrn	cgrn						ease		-50	-50	swing3		40	40	regen-stam		25	25	dmg%		150	250																																		0
Rixots Keen	26	0	1		1	1	3	2	jew	Short Sword		5	5000	blac	blac						dmg-min		5	5	att%		20	20	light		2	2	crush		25	25	ac		25	25	dmg%		100	100																										0
Blood Crescent	27	0	1		1	1	10	7	jew	Scimitar		5	5000	lblu							res-all		15	15	dmg%		60	80	hp		15	15	light		4	4	openwounds		33	33	swing2		15	15	lifesteal		15	15																						0
Krintizs Skewer	28	0	1		1	1	14	10	jew	Saber		5	5000	cblu							ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		3	7																										0
Gleamscythe	29	0	1		1	1	18	13	jew	Falchion		5	5000	lred							light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		60	100	dmg-cold	50	3	5																										0
Azurewrath	30	0	0		1	1	18	13	jew	Crystal Sword		5	5000	lgry							deadly		50	50	mag%		10	10	dmg-cold	100	3	6	dmg%		100	100	dur		25	25	dmg-mag		5	10																										0
Griswolds Edge	31	0	1		1	1	23	17	jew	Broad Sword		5	5000	cred							fire-min		10	12	fire-max		15	25	att		100	100	swing1		10	10	knock		1	1	dmg%		80	120	str		12	12																						0
Hellplague	32	0	1		1	1	30	22	jew	Long Sword		5	5000	dred							manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		70	80	dmg-fire		25	75	fireskill		2	2																		0
Culwens Point	33	0	1		1	1	39	29	jew	War Sword		5	5000	whit	whit						allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		60	60	dmg%		70	80																										0
Shadowfang	34	0	1		1	1	16	12	jew	2-Handed Sword		5	5000	cgrn							manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	lifesteal		9	9																										0
Soulflay	35	0	1		1	1	26	19	jew	Claymore		5	5000	dgrn	dgrn						manasteal		4	10	lifesteal		4	4	dmg%		70	100	res-all		5	5	swing2		10	10																														0
Kinemils Awl	36	0	1		1	1	31	23	jew	Giant Sword		5	5000	dblu							att		100	150	mana		20	20	fire-min		6	6	fire-max		20	40	dmg%		80	100	skill	102	6	6																										0
Blacktongue	37	0	1		1	1	35	26	jew	Bastard Sword		5	5000	lgrn							dmg-pois	150	192	192	noheal		1	1	att		50	50	res-pois		50	50	dmg%		50	60	*hp		-10	-10																										0
Ripsaw	38	0	1		1	1	35	26	jew	Flamberge		5	5000	cblu	cblu						openwounds		80	80	dmg-max		15	15	manasteal		6	6	dmg%		80	100																																		0
The Patriarch	39	0	1		1	1	39	29	jew	Great Sword		5	5000	cred							red-dmg		3	3	red-mag		3	3	stupidity		1	1	gold%		100	100	dmg%		100	120	str		10	10																										0
Gull	40	0	1		1	1	6	4	jew	Dagger		5	5000	lgry	lgry						dmg-min		1	1	dmg-max		15	15	mag%		100	100	mana		-5	-5							0	0																										0
The Diggler	41	0	1		1	1	15	11	jew	Dirk		5	5000	dgry	dgry						dex		10	10	dmg%		50	50	swing3		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1																										0
The Jade Tan Do	42	0	1		1	1	26	19	jew	Kris		5	5000	oran							att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		95	95	res-pois-max		20	20																														0
Irices Shard	43	0	1		1	1	34	25	jew	Blade		5	5000	dblu	dblu						cast3		50	50	mana		50	50	att		55	55	res-all		10	10																																		0
The Dragon Chang	44	0	1		1	1	11	8	jew	Spear		5	5000	dpur	dpur						att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		3	6																														0
Razortine	45	0	1		1	1	16	12	jew	Trident		5	5000	oran							slow		25	25	reduce-ac		50	50	str		15	15	dex		8	8	swing2		30	30	dmg%		30	50																										0
Bloodthief	46	0	1		1	1	23	17	jew	Brandistock		5	5000	whit	whit						openwounds		35	35	str		10	10	lifesteal		8	12	hp		26	26	dmg%		50	70																														0
Lance of Yaggai	47	0	1		1	1	30	22	jew	Spetum		5	5000	lred	lred						thorns		8	8	ltng-min		1	1	ltng-max		60	60	res-all		15	15	swing2		40	40																														0
The Tannr Gorerod	48	0	1		1	1	36	27	jew	Pike		5	5000	lgry	lgry						fire-min		23	23	fire-max		54	54	res-fire-max		15	15	hp		30	30	att		60	60	light		3	3	res-fire		15	15	dmg%		80	100																		0
Dimoaks Hew	49	0	1		1	1	11	8	jew	Bardiche		5	5000	blac	blac						dex		15	15	dmg%		100	100	swing2		20	20	ac		-8	-8																																		0
Steelgoad	50	0	1		1	1	19	14	jew	Voulge		5	5000	cgrn	cgrn						howl		96	96	deadly		30	30	att		30	30	res-all		5	5	dmg%		60	80	dur		20	40																										0
Soul Harvest	51	0	1		1	1	26	19	jew	Scythe		5	5000	dgry							openwounds		30	30	att		45	45	res-all		20	20	dmg%		50	90	manasteal		10	10	enr		5	5																										0
The Battlebranch	52	0	1		1	1	34	25	jew	Poleaxe		5	5000	lblu	lblu						swing3		30	30	dex		10	10	dmg%		50	70	att		50	100	lifesteal		7	7																														0
Woestave	53	0	1		1	1	38	28	jew	Halberd		5	5000	dblu	dblu						slow		50	50	openwounds		50	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	noheal		1	1	dmg%		20	40																		0
The Grim Reaper	54	0	1		1	1	39	29	jew	War Scythe		5	5000	lpur	lpur						deadly		100	100	noheal		1	1	manasteal		5	5	dmg%		20	20	dmg-min		15	15	*hp		-20	-20																										0
Bane Ash	55	0	1		1	1	7	5	jew	Short Staff		5	5000	lgrn	lgrn						fire-min		4	4	fire-max		6	6	res-fire		50	50	mana		30	30	swing2		20	20	dmg%		50	60	skill	36	5	5	skill	37	2	2																		0
Serpent Lord	56	0	1		1	1	12	9	jew	Long Staff		5	5000	cgrn	cgrn						dmg-pois	75	40	40	res-pois		50	50	light		-1	-1	mana		10	10	dmg%		30	40	manasteal		100	100	reduce-ac		50	50																						0
Lazarus Spire	57	0	1		1	1	24	18	jew	Gnarled Staff		5	5000	lgry							res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	53	1	1	skill	49	2	2	skill	42	3	3	regen-mana		43	43	dmg-ltng		1	28	sor		1	1														0
The Salamander	58	0	1		1	1	28	21	jew	Battle Staff		5	5000	dred	dred						dmg-fire		15	32	res-fire		30	30	skill	51	1	1	skill	47	2	2	skill	37	3	3	fireskill		2	2																										0
The Iron Jang Bong	59	0	1		1	1	38	28	jew	War Staff		5	5000	dyel	dyel						ac		30	30	cast3		20	20	dmg%		100	100	att%		50	50	skill	48	2	2	skill	46	2	2	skill	44	3	3	sor		2	2																		0
Pluckeye	60	0	1		1	1	10	7	jew	Short Bow		5	5000	cblu	cblu						att		28	28	dmg%		100	100	hp		10	10	light		2	2	manasteal		3	3	mana-kill		2	2																										0
Witherstring	61	0	1		1	1	18	13	jew	Hunter\92s Bow		5	5000	lred	lred						swing3		30	30	dmg-min		1	1	dmg-max		3	3	att		50	50	magicarrow		3	3	dmg%		40	50																										0
Rimeraven	62	0	1		1	1	20	15	jew	Long Bow		5	5000	dred	dred						att%		50	50	dex		3	3	explosivearrow		3	3	str		3	3	dmg%		60	70																														0
Piercerib	63	0	1		1	1	27	20	jew	Composite Bow		5	5000	cred							res-all		10	10	deadly		30	30	att		60	60	dmg-undead		100	100	dmg%		40	60	swing2		50	50																										0
